,Address,Price,Description,Amount_Reduced,Link
76,"813 W Oakdale Ave Apt G Chicago, IL 60657","$245,000",Condo for sale,$2.9k,https://www.realtor.com//realestateandhomes-detail/813-W-Oakdale-Ave-Apt-G_Chicago_IL_60657_M71225-43111?from=srp-list-card
77,"5757 N Sheridan Rd Apt 13J Chicago, IL 60660","$119,000",Foreclosure,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/5757-N-Sheridan-Rd-Apt-13J_Chicago_IL_60660_M80523-47973?from=srp-list-card
78,"362 E 134th St Chicago, IL 60827","$54,900",Foreclosure,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/362-E-134th-St_Chicago_IL_60827_M84934-10518?from=srp-list-card
79,"3750 N Lake Shore Dr Apt 10D Chicago, IL 60613","$300,000",Condo for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/3750-N-Lake-Shore-Dr-Apt-10D_Chicago_IL_60613_M92902-59508?from=srp-list-card
80,"12248 S State St Chicago, IL 60628","$249,900",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/12248-S-State-St_Chicago_IL_60628_M73027-06793?from=srp-list-card
81,"1426 W 72nd Pl Chicago, IL 60636","$45,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/1426-W-72nd-Pl_Chicago_IL_60636_M78815-48344?from=srp-list-card
82,"10421 S Longwood Dr Chicago, IL 60643","$599,500",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/10421-S-Longwood-Dr_Chicago_IL_60643_M74132-24280?from=srp-list-card
83,"1440 N Lake Shore Dr Unit 35HFN Chicago, IL 60610","$875,000",Condo for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/1440-N-Lake-Shore-Dr-N_Chicago_IL_60610_M74712-68934?from=srp-list-card
84,"13237 S Escanaba Ave Chicago, IL 60633","$275,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/13237-S-Escanaba-Ave_Chicago_IL_60633_M70249-79283?from=srp-list-card
85,"3033 S Kildare Ave Chicago, IL 60623","$134,900",Foreclosure,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/3033-S-Kildare-Ave_Chicago_IL_60623_M80846-07407?from=srp-list-card
86,"11407 S Indiana Ave Chicago, IL 60628","$374,900",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/11407-S-Indiana-Ave_Chicago_IL_60628_M88934-27516?from=srp-list-card
87,"1741 W 106th St Chicago, IL 60643","$249,900",Foreclosure,$15k,https://www.realtor.com//realestateandhomes-detail/1741-W-106th-St_Chicago_IL_60643_M74781-04286?from=srp-list-card
88,"1521 N State Pkwy Chicago, IL 60610","$7,850,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/1521-N-State-Pkwy_Chicago_IL_60610_M86502-26307?from=srp-list-card
89,"7310 S University St Chicago, IL 60619","$305,000",Foreclosure,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/7310-S-University-Ave_Chicago_IL_60619_M78211-40252?from=srp-list-card
90,"11406 S Saint Lawrence Ave Chicago, IL 60628","$202,900",Townhouse for sale,$7k,https://www.realtor.com//realestateandhomes-detail/11406-S-Saint-Lawrence-Ave_Chicago_IL_60628_M73304-06761?from=srp-list-card
91,"8344 S Damen Ave Chicago, IL 60620","$188,600",Contingent,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/8344-S-Damen-Ave_Chicago_IL_60620_M83372-08135?from=srp-list-card
92,"2130 N Lincoln Park Ave W Unit 7N Chicago, IL 60614","$699,770",Contingent,$70.23k,https://www.realtor.com//realestateandhomes-detail/2130-N-Lincoln-Park-W-Apt-7N_Chicago_IL_60614_M79217-46098?from=srp-list-card
93,"1704 W 94th St Chicago, IL 60643","$189,900",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/1704-W-94th-St_Chicago_IL_60643_M89226-03600?from=srp-list-card
94,"2140 N Karlov Ave Chicago, IL 60639","$277,700",Foreclosure,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/2140-N-Karlov-Ave_Chicago_IL_60639_M72353-88237?from=srp-list-card
